INFO 2025-02-20 04:02:22,016 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-20 04:02:22,016 autoreload Waiting for apps ready_event.
DEBUG 2025-02-20 04:02:22,052 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-20 04:02:22,057 autoreload Watching dir /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-02-20 04:02:22,057 autoreload Watching dir /home/kpmidhlaj/django/watchmate/locale with glob **/*.mo.
DEBUG 2025-02-20 04:02:22,058 autoreload Watching dir /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-02-20 04:02:22,058 autoreload Watching dir /home/kpmidhlaj/django/watchmate/watchlist_app/locale with glob **/*.mo.
DEBUG 2025-02-20 04:02:22,076 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-02-20 04:02:22,078 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-02-20 04:02:22,108 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1736311827.2369297
DEBUG 2025-02-20 04:02:22,108 autoreload File /usr/local/lib/python3.12/types.py first seen with mtime 1724146130.5157757
DEBUG 2025-02-20 04:02:22,108 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/postgres/utils.py first seen with mtime 1736311827.3349278
DEBUG 2025-02-20 04:02:22,108 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1736311827.4169264
DEBUG 2025-02-20 04:02:22,108 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/views/i18n.py first seen with mtime 1736311827.4599257
DEBUG 2025-02-20 04:02:22,109 autoreload File /usr/local/lib/python3.12/encodings/aliases.py first seen with mtime 1724146130.5997777
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/utils/formatting.py first seen with mtime 1736314502.072547
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1736311827.437926
DEBUG 2025-02-20 04:02:22,109 autoreload File /usr/local/lib/python3.12/wsgiref/util.py first seen with mtime 1724146130.9557853
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/utils/html.py first seen with mtime 1736314502.072547
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/utils/encoders.py first seen with mtime 1736314502.072547
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/urls/__init__.py first seen with mtime 1736311827.4539258
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/filters/others.py first seen with mtime 1736311826.9929338
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/handlers/asgi.py first seen with mtime 1736311827.4199264
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/migrations/__init__.py first seen with mtime 1736311827.4319263
